

productTitle,Review Title,Rating,Review Body
Pushkar Handicraft Cane Bar Stool For Indoor/Outdoor Furnishings (Red) - Set Of 1(Bamboo),Decent looking.Should be higher by about 4 in to make comfortable.,3.0 out of 5 stars,Happy. Used as foot rest while watching  TV.
Pushkar Handicraft Cane Bar Stool For Indoor/Outdoor Furnishings (Red) - Set Of 1(Bamboo),Attractive,4.0 out of 5 stars,Good quality.
Pushkar Handicraft Cane Bar Stool For Indoor/Outdoor Furnishings (Red) - Set Of 1(Bamboo),Good Product and durable,4.0 out of 5 stars,It looks good though the height is low but comfortable to sit on.
Pushkar Handicraft Cane Bar Stool For Indoor/Outdoor Furnishings (Red) - Set Of 1(Bamboo),Value for money,4.0 out of 5 stars,"Good product.. recd same as picture.Solid, durable and comfortable to sit. This product is worth the money."
Pushkar Handicraft Cane Bar Stool For Indoor/Outdoor Furnishings (Red) - Set Of 1(Bamboo),Good,4.0 out of 5 stars,Good quality
Pushkar Handicraft Cane Bar Stool For Indoor/Outdoor Furnishings (Red) - Set Of 1(Bamboo),Its as per expectations. Very nice,5.0 out of 5 stars,Its as per expectations. Very nice
Pushkar Handicraft Cane Bar Stool For Indoor/Outdoor Furnishings (Red) - Set Of 1(Bamboo),Very nice 👍🏻,5.0 out of 5 stars,Good product 👍🏻
Pushkar Handicraft Cane Bar Stool For Indoor/Outdoor Furnishings (Red) - Set Of 1(Bamboo),NICE,5.0 out of 5 stars,NICE
Pushkar Handicraft Cane Bar Stool For Indoor/Outdoor Furnishings (Red) - Set Of 1(Bamboo),Worth money,5.0 out of 5 stars,I had been using it for few months and I have loved its look and has been durable. Good one
Pushkar Handicraft Cane Bar Stool For Indoor/Outdoor Furnishings (Red) - Set Of 1(Bamboo),Cane stool,3.0 out of 5 stars,It's only good to add to the decor of house. Also good for kids to carry easily. But its definetely not durable.
productTitle,Review Title,Rating,Review Body
"Jaipur Woollen Handicraft Traditional Woollen Handmade Door Toran/Bandarwal/Hanging with Door Hanging Set of 2, Multicolor",I loved it,5.0 out of 5 stars,Quality product in  suitable cost
"Jaipur Woollen Handicraft Traditional Woollen Handmade Door Toran/Bandarwal/Hanging with Door Hanging Set of 2, Multicolor",Nice product,5.0 out of 5 stars,Good product
productTitle,Review Title,Rating,Review Body
"SN Handicraft Idol of Lord Gautam Buddha Statue Big Size Idols-Lord Buddha Idols for Gift, Home &amp; Showpiece for Living Room in Home Decorative Showpiece - 22 cm(Polyresin, White, Blue)",very beatifull idol,4.0 out of 5 stars,Very Nice
"SN Handicraft Idol of Lord Gautam Buddha Statue Big Size Idols-Lord Buddha Idols for Gift, Home &amp; Showpiece for Living Room in Home Decorative Showpiece - 22 cm(Polyresin, White, Blue)",Very beautiful,5.0 out of 5 stars,
"SN Handicraft Idol of Lord Gautam Buddha Statue Big Size Idols-Lord Buddha Idols for Gift, Home &amp; Showpiece for Living Room in Home Decorative Showpiece - 22 cm(Polyresin, White, Blue)",bUddha looked beautiful!,4.0 out of 5 stars,it was a gift for a friend and my friend loved it. it was also pocket friendly gift !
"SN Handicraft Idol of Lord Gautam Buddha Statue Big Size Idols-Lord Buddha Idols for Gift, Home &amp; Showpiece for Living Room in Home Decorative Showpiece - 22 cm(Polyresin, White, Blue)",Meet Expectation Good for price paid,4.0 out of 5 stars,
"SN Handicraft Idol of Lord Gautam Buddha Statue Big Size Idols-Lord Buddha Idols for Gift, Home &amp; Showpiece for Living Room in Home Decorative Showpiece - 22 cm(Polyresin, White, Blue)",Broken item received,5.0 out of 5 stars,Broken item received
"SN Handicraft Idol of Lord Gautam Buddha Statue Big Size Idols-Lord Buddha Idols for Gift, Home &amp; Showpiece for Living Room in Home Decorative Showpiece - 22 cm(Polyresin, White, Blue)",It's a masterpiece!!!!,5.0 out of 5 stars,Really amazing!!! I must say it's a masterpiece at such an affordable cost. Thank you Amazon for the product. Excellent packaging! Must buy for your loved ones!!!
"SN Handicraft Idol of Lord Gautam Buddha Statue Big Size Idols-Lord Buddha Idols for Gift, Home &amp; Showpiece for Living Room in Home Decorative Showpiece - 22 cm(Polyresin, White, Blue)",Beautiful statue,5.0 out of 5 stars,Nice product and you can go for it
"SN Handicraft Idol of Lord Gautam Buddha Statue Big Size Idols-Lord Buddha Idols for Gift, Home &amp; Showpiece for Living Room in Home Decorative Showpiece - 22 cm(Polyresin, White, Blue)",Lovely one,5.0 out of 5 stars,"Received the exactly same one which is shown in the picture, and its light weight also"
"SN Handicraft Idol of Lord Gautam Buddha Statue Big Size Idols-Lord Buddha Idols for Gift, Home &amp; Showpiece for Living Room in Home Decorative Showpiece - 22 cm(Polyresin, White, Blue)",Nice product liked it very much,5.0 out of 5 stars,Nice product worth for money thankyou Amazon!
"SN Handicraft Idol of Lord Gautam Buddha Statue Big Size Idols-Lord Buddha Idols for Gift, Home &amp; Showpiece for Living Room in Home Decorative Showpiece - 22 cm(Polyresin, White, Blue)",Beautiful.... Even it looks better than the Image. Loved it,4.0 out of 5 stars,

